2025-07-11 09:55:19,728 | INFO | program started
2025-07-13 12:41:16,201 | INFO | program started
2025-07-13 12:41:17,288 | INFO | global json loaded
2025-07-13 12:51:42,930 | INFO | program exiting.
2025-07-13 15:37:09,301 | INFO | program started
2025-07-13 15:37:11,029 | INFO | global json loaded
2025-07-13 15:38:05,737 | INFO | program exiting.
2025-07-13 15:38:08,358 | INFO | program started
2025-07-13 15:38:09,425 | INFO | global json loaded
2025-07-13 15:38:21,586 | INFO | program exiting.
2025-07-13 15:38:40,911 | INFO | program started
2025-07-13 15:38:41,976 | INFO | global json loaded
2025-07-13 15:39:32,955 | INFO | program exiting.
2025-07-13 15:39:45,477 | INFO | program started
2025-07-13 15:39:46,558 | INFO | global json loaded
2025-07-13 15:40:25,685 | INFO | program exiting.
2025-07-13 15:42:05,945 | INFO | program started
2025-07-13 15:42:07,012 | INFO | global json loaded
2025-07-13 16:08:24,343 | INFO | program exiting.
2025-07-13 16:08:28,674 | INFO | program started
2025-07-13 16:08:29,763 | INFO | global json loaded
2025-07-13 16:08:48,643 | INFO | program exiting.
2025-07-13 16:09:37,582 | INFO | program started
2025-07-13 16:09:38,663 | INFO | global json loaded
2025-07-13 16:10:01,023 | INFO | program exiting.
2025-07-13 16:10:19,147 | INFO | program started
2025-07-13 16:10:20,237 | INFO | global json loaded
2025-07-13 16:10:31,557 | INFO | program exiting.
2025-07-13 16:12:59,672 | INFO | program started
2025-07-13 16:13:00,764 | INFO | global json loaded
2025-07-13 16:18:16,255 | INFO | program exiting.
2025-07-13 16:18:18,936 | INFO | program started
2025-07-13 16:18:20,012 | INFO | global json loaded
2025-07-13 16:28:04,819 | INFO | program exiting.
2025-07-13 16:28:20,536 | INFO | program started
2025-07-13 16:28:21,630 | INFO | global json loaded
2025-07-13 16:30:57,067 | INFO | program exiting.
2025-07-13 16:31:00,606 | INFO | program started
2025-07-13 16:31:01,697 | INFO | global json loaded
2025-07-13 16:32:09,333 | INFO | program exiting.
2025-07-13 16:35:18,834 | INFO | program started
2025-07-13 16:35:19,936 | INFO | global json loaded
2025-07-13 16:38:01,510 | INFO | program exiting.
2025-07-13 16:40:48,556 | INFO | program started
2025-07-13 16:40:49,660 | INFO | global json loaded
2025-07-13 16:41:49,681 | INFO | program exiting.
2025-07-13 16:41:52,328 | INFO | program started
2025-07-13 16:41:53,416 | INFO | global json loaded
2025-07-13 16:45:20,596 | INFO | program exiting.
2025-07-13 16:45:23,698 | INFO | program started
2025-07-13 16:45:24,785 | INFO | global json loaded
2025-07-13 16:46:26,911 | INFO | program exiting.
2025-07-13 16:46:31,852 | INFO | program started
2025-07-13 16:46:32,934 | INFO | global json loaded
2025-07-13 16:48:27,762 | INFO | program exiting.
2025-07-13 16:48:30,292 | INFO | program started
2025-07-13 16:48:31,393 | INFO | global json loaded
2025-07-13 16:50:20,077 | INFO | program exiting.
2025-07-13 16:50:23,407 | INFO | program started
2025-07-13 16:50:24,499 | INFO | global json loaded
2025-07-13 16:50:52,193 | INFO | program exiting.
2025-07-13 16:50:55,680 | INFO | program started
2025-07-13 16:50:56,784 | INFO | global json loaded
2025-07-13 16:52:05,378 | INFO | program exiting.
2025-07-13 16:53:38,807 | INFO | program started
2025-07-13 16:53:39,891 | INFO | global json loaded
2025-07-13 16:54:35,808 | INFO | program exiting.
2025-07-13 17:23:06,123 | INFO | program started
2025-07-13 17:23:07,272 | INFO | global json loaded
2025-07-13 17:25:05,393 | INFO | program exiting.
2025-07-13 17:25:07,361 | INFO | program started
2025-07-13 17:25:08,457 | INFO | global json loaded
2025-07-13 17:47:20,185 | INFO | program exiting.
2025-07-14 09:36:03,762 | INFO | program started
2025-07-14 09:36:06,330 | INFO | global params json loaded
2025-07-14 09:59:50,264 | INFO | program exiting.
2025-07-14 10:12:00,529 | INFO | program started
2025-07-14 10:12:02,257 | INFO | global params json loaded
2025-07-14 10:12:41,070 | INFO | program exiting.
2025-07-14 10:15:40,951 | INFO | program started
2025-07-14 10:15:42,850 | INFO | global params json loaded
2025-07-14 10:16:28,947 | INFO | program exiting.
2025-07-14 10:16:36,084 | INFO | program started
2025-07-14 10:16:37,822 | INFO | global params json loaded
2025-07-14 10:17:28,268 | INFO | program exiting.
2025-07-14 10:17:40,642 | INFO | program started
2025-07-14 10:17:42,540 | INFO | global params json loaded
2025-07-14 10:18:23,195 | INFO | program exiting.
2025-07-14 14:45:43,069 | INFO | program started
2025-07-14 14:45:45,019 | INFO | global params json loaded
2025-07-14 14:45:54,007 | INFO | model PointLight.glb loaded
2025-07-14 14:49:36,917 | INFO | scene json saved
2025-07-14 14:49:36,922 | INFO | json saved(light data)
2025-07-14 14:49:36,922 | INFO | global params json saved
2025-07-14 14:49:38,224 | INFO | program exiting.
2025-07-14 14:49:42,412 | INFO | program started
2025-07-14 14:49:44,166 | INFO | global params json loaded
2025-07-14 14:49:50,273 | INFO | program exiting.
2025-07-14 14:50:11,524 | INFO | program started
2025-07-14 14:50:13,398 | INFO | global params json loaded
2025-07-14 14:52:31,808 | INFO | scene json saved
2025-07-14 14:52:31,808 | INFO | json saved(light data)
2025-07-14 14:52:31,808 | INFO | global params json saved
2025-07-14 14:52:32,708 | INFO | program exiting.
2025-07-14 14:52:41,817 | INFO | program started
2025-07-14 14:52:43,578 | INFO | global params json loaded
2025-07-14 14:54:34,532 | INFO | program exiting.
2025-07-14 16:15:25,463 | INFO | program started
2025-07-14 16:15:27,239 | INFO | global params json loaded
2025-07-14 16:15:37,174 | INFO | uniquename of model index 1 is DamagedHelmet.glb updated with 
2025-07-14 16:15:45,162 | INFO | program exiting.
2025-07-14 16:17:54,457 | INFO | program started
2025-07-14 16:17:56,477 | INFO | global params json loaded
2025-07-14 16:18:10,071 | INFO | unique name should not be render or none or empty.
2025-07-14 16:18:35,518 | INFO | program exiting.
2025-07-14 17:04:25,032 | INFO | program started
2025-07-14 17:04:26,901 | INFO | global params json loaded
2025-07-14 17:04:39,631 | ERROR | error in heightmap gui entry:
2025-07-14 17:04:39,631 | ERROR | 'type'
2025-07-14 17:06:39,282 | INFO | program exiting.
2025-07-14 17:06:44,068 | INFO | program started
2025-07-14 17:06:45,759 | INFO | global params json loaded
2025-07-14 17:09:01,549 | INFO | program started
2025-07-14 17:09:03,699 | INFO | global params json loaded
2025-07-14 17:10:31,336 | INFO | program started
2025-07-14 17:10:33,212 | INFO | global params json loaded
2025-07-14 17:11:12,353 | INFO | program started
2025-07-14 17:11:14,245 | INFO | global params json loaded
2025-07-14 17:11:56,914 | INFO | program started
2025-07-14 17:11:58,810 | INFO | global params json loaded
2025-07-14 17:13:47,069 | INFO | program started
2025-07-14 17:13:48,973 | INFO | global params json loaded
2025-07-14 17:22:17,615 | INFO | program started
2025-07-14 17:22:19,259 | INFO | global params json loaded
2025-07-14 17:23:00,739 | INFO | program started
2025-07-14 17:23:02,583 | INFO | global params json loaded
2025-07-14 17:27:06,795 | INFO | program started
2025-07-14 17:27:08,668 | INFO | global params json loaded
2025-07-14 17:28:53,450 | INFO | program started
2025-07-14 17:28:55,357 | INFO | global params json loaded
2025-07-14 17:31:18,504 | INFO | program started
2025-07-14 17:31:20,387 | INFO | global params json loaded
2025-07-14 17:31:35,832 | INFO | terrain generated.
2025-07-14 17:33:10,072 | INFO | program exiting.
2025-07-14 17:33:14,274 | INFO | program started
2025-07-14 17:33:15,991 | INFO | global params json loaded
2025-07-14 17:36:40,066 | INFO | terrain generated.
2025-07-14 17:36:59,613 | INFO | program exiting.
2025-07-14 17:38:21,237 | INFO | program started
2025-07-14 17:38:23,172 | INFO | global params json loaded
2025-07-14 17:38:32,560 | INFO | terrain generated.
2025-07-14 17:41:17,349 | INFO | program exiting.
2025-07-14 20:15:39,296 | INFO | program started
2025-07-14 20:15:41,179 | INFO | global params json loaded
2025-07-14 20:17:14,645 | INFO | program started
2025-07-14 20:17:15,774 | INFO | global params json loaded
2025-07-14 20:18:44,850 | INFO | program started
2025-07-14 20:18:45,966 | INFO | global params json loaded
2025-07-14 20:20:12,100 | INFO | program started
2025-07-14 20:20:13,215 | INFO | global params json loaded
2025-07-14 20:20:46,409 | INFO | program started
2025-07-14 20:20:47,518 | INFO | global params json loaded
2025-07-14 20:21:47,323 | INFO | program started
2025-07-14 20:21:48,435 | INFO | global params json loaded
2025-07-14 20:22:36,558 | INFO | program started
2025-07-14 20:22:37,681 | INFO | global params json loaded
2025-07-14 20:22:48,536 | INFO | terrain generated.
2025-07-14 20:30:13,342 | INFO | scene json saved
2025-07-14 20:30:13,342 | INFO | json saved(light data)
2025-07-14 20:30:13,342 | INFO | global params json saved
2025-07-14 20:30:15,106 | INFO | program exiting.
2025-07-14 20:30:19,360 | INFO | program started
2025-07-14 20:30:20,726 | INFO | global params json loaded
2025-07-14 20:32:12,921 | INFO | program exiting.
2025-07-14 20:49:31,408 | INFO | program started
2025-07-14 20:49:32,770 | INFO | global params json loaded
2025-07-14 20:52:14,496 | INFO | program started
2025-07-14 20:52:15,852 | INFO | global params json loaded
2025-07-14 20:53:32,189 | INFO | program started
2025-07-14 20:53:33,516 | INFO | global params json loaded
2025-07-14 20:56:44,563 | INFO | scene json saved
2025-07-14 20:56:44,565 | INFO | json saved(light data)
2025-07-14 20:56:44,565 | INFO | global params json saved
2025-07-14 20:56:46,879 | INFO | program exiting.
2025-07-14 20:56:48,966 | INFO | program started
2025-07-14 21:05:12,910 | INFO | program started
2025-07-14 21:05:25,306 | INFO | program started
2025-07-14 21:05:26,645 | INFO | global params json loaded
2025-07-14 21:07:25,966 | INFO | program exiting.
2025-07-14 21:07:28,499 | INFO | program started
2025-07-14 21:07:29,853 | INFO | global params json loaded
2025-07-14 21:09:10,248 | INFO | scene json saved
2025-07-14 21:09:10,250 | INFO | json saved(light data)
2025-07-14 21:09:10,250 | INFO | global params json saved
2025-07-14 21:10:10,188 | INFO | program exiting.
2025-07-14 21:10:13,062 | INFO | program started
2025-07-14 21:10:14,417 | INFO | global params json loaded
2025-07-14 21:11:22,603 | INFO | program exiting.
2025-07-14 21:11:25,249 | INFO | program started
2025-07-14 21:11:26,612 | INFO | global params json loaded
2025-07-14 21:13:07,623 | INFO | program exiting.
2025-07-14 21:13:11,468 | INFO | program started
2025-07-14 21:13:12,812 | INFO | global params json loaded
2025-07-14 21:15:27,728 | INFO | program exiting.
2025-07-14 21:15:30,240 | INFO | program started
2025-07-14 21:15:31,608 | INFO | global params json loaded
2025-07-14 21:16:54,076 | INFO | program exiting.
2025-07-14 21:16:56,307 | INFO | program started
2025-07-14 21:16:57,672 | INFO | global params json loaded
2025-07-14 21:17:40,359 | INFO | program exiting.
2025-07-15 10:54:18,868 | INFO | program started
2025-07-15 10:54:22,994 | INFO | global params json loaded
2025-07-15 10:56:09,269 | INFO | program exiting.
2025-07-15 11:04:20,009 | INFO | program started
2025-07-15 11:04:22,017 | INFO | global params json loaded
2025-07-15 11:07:27,582 | INFO | scene json saved
2025-07-15 11:07:27,582 | INFO | json saved(light data)
2025-07-15 11:07:27,582 | INFO | global params json saved
2025-07-15 11:08:19,747 | INFO | program exiting.
2025-07-15 11:10:09,870 | INFO | program started
2025-07-15 11:10:11,781 | INFO | global params json loaded
2025-07-15 11:12:30,131 | INFO | program exiting.
2025-07-15 12:07:41,472 | INFO | program started
2025-07-15 12:07:43,177 | INFO | global params json loaded
2025-07-15 12:09:04,243 | INFO | program exiting.
2025-07-15 15:31:38,035 | INFO | program started
2025-07-15 15:31:40,190 | INFO | global params json loaded
2025-07-17 16:25:35,374 | INFO | program started
2025-07-17 16:25:38,465 | INFO | global params json loaded
2025-07-17 16:28:20,961 | INFO | program exiting.
2025-07-17 16:29:49,357 | INFO | program started
2025-07-17 16:29:51,224 | INFO | global params json loaded
2025-07-17 16:41:31,039 | INFO | program exiting.
2025-07-17 16:46:55,276 | INFO | program started
2025-07-17 16:46:57,115 | INFO | global params json loaded
2025-07-17 16:57:25,010 | INFO | program exiting.
2025-07-17 16:57:27,936 | INFO | program started
2025-07-17 16:57:29,575 | INFO | global params json loaded
2025-07-17 16:59:15,025 | INFO | program exiting.
